ABQ;ALBUQUERQUE, NM
ABR;ABERDEEN, SD
AFC;ANCHORAGE, AK
AFG;FAIRBANKS, AK
AJK;JUNEAU, AK
AKQ;WAKEFIELD, VA
ALY;ALBANY, NY
AMA;AMARILLO, TX
APX;NORTH CENTRAL LOWER MICHIGAN, MI (Gaylord)
ARX;LA CROSSE, WI
BGM;BINGHAMTON, NY (Johnson City)
BIS;BISMARCK, ND
BMX;BIRMINGHAM, AL (Alabaster)
BOI;BOISE, ID
BOU;DENVER/BOULDER, CO
BOX;BOSTON, MA (Taunton)
BRO;BROWNSVILLE, TX
BTV;BURLINGTON, VT
BUF;BUFFALO, NY (Cheektowaga)
BYZ;BILLINGS, MT
CAE;COLUMBIA, SC
CAR;CARIBOU, ME
CHS;CHARLESTON, SC
CLE;CLEVELAND, OH
CRP;CORPUS CHRISTI, TX
CTP;CENTRAL PENNSYLVANIA, PA (State College)
CYS;CHEYENNE, WY
DDC;DODGE CITY, KS
DLH;DULUTH, MN
DMX;DES MOINES, IA (Johnston)
DTX;DETROIT, MI (White Lakes)
DVN;QUAD CITIES, IA (Davenport)
EAX;KANSAS CITY, MO (Pleasant Hill)
EKA;EUREKA, CA
EPZ;EL PASO, TX (Santa Teresa)
EYW;KEY WEST, FL
EWX;AUSTIN/SAN ANTONIO, TX (New Braunfels)
FFC;ATLANTA, GA (Peachtree City)
FGF;EASTERN NORTH DAKOTA, ND (Grand Forks)
FGZ;FLAGSTAFF, AZ (Bellemont)
FSD;SIOUX FALLS, SD
FWD;DALLAS/FORT WORTH, TX
GGW;GLASGOW, MT
GID;HASTINGS, NE
GJT;GRAND JUNCTION, CO
GLD;GOODLAND, KS
GRB;GREEN BAY, WI
GRR;GRAND RAPIDS, MI
GSP;GREENVILLE/SPARTANBURG, SC (Greer)
GUA;GUAM, GU
GYX;PORTLAND, ME
HFO;Honolulu, HI
HGX;HOUSTON/GALVESTON, TX (Dickinson)
HNX;SAN JOAQUIN VALLEY, CA (Hanford)
ICT;WICHITA, KS
ILM;WILMINGTON, NC
ILN;CINCINNATI, OH
ILX;CENTRAL ILLINOIS, IL (Lincoln)
IND;INDIANAPOLIS, IN
IWX;NORTHERN INDIANA, IN (Syracuse)
JAN;JACKSON, MS
JAX;JACKSONVILLE, FL
JKL;JACKSON, KY
LBF;NORTH PLATTE, NE
LCH;LAKE CHARLES, LA
LIX;NEW ORLEANS/BATON ROUGE, LA (Slidell)
LKN;ELKO, NV
LMK;LOUISVILLE, KY
LOT;CHICAGO, IL (Romeoville)
LOX;LOS ANGELES, CA (Oxnard)
LSX;ST. LOUIS, MO (St Charles)
LUB;LUBBOCK, TX
LWX;BALTIMORE, MD/WASHINGTON, DC (Sterling)
LZK;LITTLE ROCK, AR
MAF;MIDLAND/ODESSA, TX
MEG;MEMPHIS, TN
MFL;MIAMI, FL
MFR;MEDFORD, OR
MHX;MOREHEAD CITY, NC (Newport)
MKX;MILWAUKEE, WI (Dousman)
MLB;MELBOURNE, FL
MOB;MOBILE, AL
MPX;MINNEAPOLIS, MN (Chanhassen)
MQT;MARQUETTE, MI (Negaunee)
MRX;KNOXVILLE/TRI-CITIES, TN (Morristown)
MSO;MISSOULA, MT
MTR;SAN FRANCISCO BAY AREA, CA (Monterey)
OAX;OMAHA, NE (Valley)
OHX;NASHVILLE, TN (Old Hickory)
OKX;NEW YORK CITY, NY
OTX;SPOKANE, WA
OUN;OKLAHOMA CITY, OK (Norman)
PAH;PADUCAH, KY
PBZ;PITTSBURGH, PA (Coraopolis)
PDT;PENDLETON, OR
PHI;PHILADELPHIA, PA (Mt Holly)
PIH;POCATELLO/IDAHO FALLS, ID
PQR;PORTLAND, OR
PSR;PHOENIX, AZ
PUB;PUEBLO, CO
RAH;RALEIGH/DURHAM, NC
REV;RENO, NV
RIW;RIVERTON, WY
RLX;CHARLESTON, WV
RNK;ROANOKE, VA
SEW;SEATTLE/TACOMA, WA
SGF;SPRINGFIELD, MO
SGX;SAN DIEGO, CA
SHV;SHREVEPORT, LA
SJT;SAN ANGELO, TX
SJU;SAN JUAN, PR (Carolina)
SLC;SALT LAKE CITY, UT
STO;SACRAMENTO, CA
TAE;TALLAHASSEE, FL
TBW;TAMPA BAY AREA, FL (Ruskin)
TFX;GREAT FALLS, MT
TOP;TOPEKA, KS
TSA;TULSA, OK
TWC;TUCSON, AZ
UNR;RAPID CITY, SD
VEF;LAS VEGAS, NV
